Log File Name:,.\log\cowrie.json.2020-11-10.txt
Time Stamp,Action Type,Session,IP,Command List,List Mitre Attack
2020-11-10T08:51:52.752000Z,New Connection to SSH,401dd041fa67,140.213.33.218,-,
2020-11-10T08:52:35.728851Z,New Connection to SSH,e2b345d582f6,140.213.33.218,-,
2020-11-10T08:52:35.746460Z,Version,e2b345d582f6,140.213.33.218,-,
2020-11-10T08:52:35.804096Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,e2b345d582f6,140.213.33.218,-,
2020-11-10T08:52:39.009667Z,Login attemp as root@tasdasd success,e2b345d582f6,140.213.33.218,-,
2020-11-10T08:52:39.212762Z,Cowrie save the size of terminal session as height: 30 and width 120,e2b345d582f6,140.213.33.218,-,
2020-11-10T08:52:39.215822Z,CPU/OS architecture emulated by cowrie saved as linux-x64-lsb,e2b345d582f6,140.213.33.218,-,
2020-11-10T08:52:42.169021Z,Run a command,e2b345d582f6,140.213.33.218,blasdij,
2020-11-10T08:52:42.182525Z,Command failed to run,e2b345d582f6,140.213.33.218,Command not found: blasdij,
2020-11-10T08:52:46.590667Z,Run a command,e2b345d582f6,140.213.33.218,testing aja wey,
2020-11-10T08:52:46.592547Z,Command failed to run,e2b345d582f6,140.213.33.218,Command not found: testing aja wey,
2020-11-10T08:52:49.294428Z,Run a command,e2b345d582f6,140.213.33.218,om kevin,
2020-11-10T08:52:49.295365Z,Command failed to run,e2b345d582f6,140.213.33.218,Command not found: om kevin,
2020-11-10T08:52:58.296638Z,Run a command,e2b345d582f6,140.213.33.218,coba ini keterima ga ?,
2020-11-10T08:52:58.305423Z,Command failed to run,e2b345d582f6,140.213.33.218,Command not found: coba ini keterima ga ?,
2020-11-10T08:53:52.829217Z,Connection lost from SSH,401dd041fa67,140.213.33.218,-,
2020-11-10T08:55:39.101122Z,Closing TTY Log (Input Log) for this Session,e2b345d582f6,140.213.33.218,-,
2020-11-10T08:55:39.102784Z,Connection lost from SSH,e2b345d582f6,140.213.33.218,-,
2020-11-10T08:58:31.820501Z,New Connection to SSH,dfdb469d070b,103.125.43.28,-,
2020-11-10T08:58:31.836909Z,Version,dfdb469d070b,103.125.43.28,-,
2020-11-10T08:58:31.860868Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,dfdb469d070b,103.125.43.28,-,
2020-11-10T08:58:46.290378Z,Connection lost from SSH,dfdb469d070b,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T08:59:30.751220Z,New Connection to SSH,91c78bc72b12,103.125.43.28,-,
2020-11-10T08:59:30.755321Z,Version,91c78bc72b12,103.125.43.28,-,
2020-11-10T08:59:30.778030Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,91c78bc72b12,103.125.43.28,-,
2020-11-10T08:59:32.886144Z,Connection lost from SSH,91c78bc72b12,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:05:31.871663Z,New Connection to SSH,dbb344202e0d,103.125.43.28,-,
2020-11-10T09:05:31.877254Z,Version,dbb344202e0d,103.125.43.28,-,
2020-11-10T09:05:31.899819Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,dbb344202e0d,103.125.43.28,-,
2020-11-10T09:05:34.985830Z,Connection lost from SSH,dbb344202e0d,103.125.43.28,-,T444 (Reconisance) Test Connection | 
2020-11-10T09:06:03.690443Z,New Connection to SSH,782ed15efa7a,103.125.43.28,-,
2020-11-10T09:06:03.691580Z,Version,782ed15efa7a,103.125.43.28,-,
2020-11-10T09:06:03.714196Z,Cowrie save the SSH client hassh fingerprint as 2dd6531c7e89d3c925db9214711be76a,782ed15efa7a,103.125.43.28,-,
2020-11-10T09:06:12.170676Z,Login attemp as root@P@ssW0rd success,782ed15efa7a,103.125.43.28,-,
2020-11-10T09:06:12.373325Z,Cowrie save the size of terminal session as height: 30 and width 120,782ed15efa7a,103.125.43.28,-,
